Tag,Fokus,Konkrete Aufgaben,Output,KPI
1,Shop-Fundament,"Etsy-Shop anlegen, Shopname pruefen, Impressum/Rechtstexte klaeren, Printify/Printful Konto anlegen","Shop-Grundstruktur steht","Shop eingerichtet"
2,POD-Setup,"Printify/Printful mit Etsy verbinden, Standardshirt auswaehlen, Versandprofil pruefen","Testprodukt als Draft","1 Draft"
3,Datenzentrale,"Google Sheet aus design_tracker.csv importieren, Statuswerte anlegen, Dateistruktur fuer Designs erstellen","Produktionspipeline steht","Sheet nutzbar"
4,Nischenliste,"20 deutsche Nischen mit Etsy/Google Trends/Pinterest sammeln","20 Nischen","20 Nischen"
5,Rechtsprozess,"DPMA, EUIPO/TMview, Etsy und Google Suchroutine dokumentieren","Rechtscheck-Prozess","Checkliste fertig"
6,Claim-Batch 1,"30 markenfreie Sprueche fuer Geburtstag/Jahrgang/Mama/Papa erzeugen","30 Claims","30 Claims"
7,Erste Designs,"5 Designs erstellen, PNG exportieren, Druckflaeche pruefen","5 Design-Dateien","5 Designs"
8,Geburtstag/Jahrgang,"10 Jahrgangsdesigns vorbereiten und pruefen","10 Draft-Designs","10 Ideen"
9,Mama/Papa,"10 Mama/Papa Designs erstellen","10 Draft-Designs","10 Ideen"
10,Hundebesitzer,"10 Hundehalter-Designs erstellen","10 Draft-Designs","10 Ideen"
11,Berufe,"10 Berufsdesigns erstellen: Pflege, Kita, Lehrer, Handwerk","10 Draft-Designs","10 Ideen"
12,Hobbys,"10 Hobbydesigns erstellen: Camping, Angeln, Grillen, Lesen","10 Draft-Designs","10 Ideen"
13,Listing-SEO,"20 Titel, Tags und Beschreibungen generieren","20 Listing-Datensaetze","20 Listings ready"
14,Erste Auswertung,"Views, Favoriten, Klickrate und Designqualitaet pruefen","Optimierungsnotizen","Mindestens 5 Learnings"
15,Automation Setup,"Make.com oder n8n testen, Sheet Trigger definieren","Test-Automation","1 Testlauf"
16,Listing-Daten automatisieren,"Prompt fuer SEO-Daten standardisieren, Output ins Sheet schreiben","Automatisierter Listing-Text","10 Datensaetze"
17,Mockup-System,"3-6 Mockup-Templates definieren, Mockup-Namen standardisieren","Mockup-Prozess","3 Templates"
18,QC-Gate,"Status QC Review einfuehren, keine Direktveroeffentlichung","Freigabeprozess","0 ungepruefte Live-Listings"
19,Batch-Produktion,"20 neue Listings als Drafts vorbereiten","20 Drafts","20 Drafts"
20,Margencheck,"Preise, Versand, Rabatte und Fees kalkulieren","Preisformel","Marge > Zielwert"
21,Varianten,"Erste gut wirkende Designs in Varianten ueberfuehren","10 Varianten","10 Varianten"
22,Gewinnernischen,"Top 5 Nischen nach Interesse und Umsetzbarkeit bestimmen","5 Fokusnischen","5 Nischen"
23,Skalierungsbatch,"Je Fokusnische 20 Varianten planen","100 Ideen","100 Ideen"
24,Draft-Day,"30 Listings als Etsy/Printify Drafts vorbereiten","30 Drafts","30 Drafts"
25,SEO-Test,"Titelvarianten und Tag-Cluster testen","SEO-Varianten","3 Cluster"
26,Mockup-Test,"Hauptbilder vergleichen: neutral, Lifestyle, Detail","Mockup-Learnings","1 Gewinnerstil"
27,Pipeline 50,"50 Designs in Status Idea/Legal Check bringen","50 Pipeline-Ideen","50 Ideen"
28,Listing-Review,"Schwache Listings ueberarbeiten oder pausieren","Optimierte Listings","10 Updates"
29,Automation-Fix,"Fehler, Dateinamen, Statuslogik und Exportformate bereinigen","Stabiler Prozess","0 Blocker"
30,Betriebssystem,"Tagesroutine fuer 20-50 Listings/Tag festlegen","Standard Operating Procedure","SOP fertig"
