ID,Titel,Tags,Beschreibung kurz,Zielgruppe,Anlass
1,"Legende seit 1984 T-Shirt, Jahrgang 1984 Geburtstag Geschenk, Vintage Shirt","1984 shirt,jahrgang 1984,geburtstag shirt,geschenk mann,vintage shirt,legende shirt,40 geburtstag,shirt herren,lustiges shirt,baujahr 1984,t shirt mann,retro shirt,geschenk papa","Lustiges Jahrgangsshirt fuer Geburtstage mit Vintage-Optik.",Mann,Geburtstag
2,"Mama braucht Kaffee Shirt, lustiges Mama Geschenk, Muttertag T-Shirt","mama shirt,kaffee shirt,mama kaffee,muttertag,geschenk mama,mama geburtstag,lustiges shirt,shirt frau,kaffeeliebe,mutter geschenk,t shirt mama,cozy shirt,alltag humor","Perfekt fuer Mamas mit Humor und Kaffeeliebe.",Frau,Muttertag
3,"Papa repariert das schon T-Shirt, Vatertag Geschenk, Handwerker Papa Shirt","papa shirt,vatertag,geschenk papa,handwerker,papa geschenk,werkzeug shirt,lustiges shirt,vater shirt,t shirt papa,papa humor,heimwerker,papa geburtstag,repariert shirt","Shirt fuer praktische Papas, die alles reparieren.",Mann,Vatertag
4,"Hundehaare sind mein Glitzer Shirt, Hundemama Geschenk, Hunde T-Shirt","hundemama,hundeliebe,hundehaare,glitzer shirt,hunde geschenk,shirt frau,lustiges shirt,hundebesitzer,pfoten shirt,geschenk frau,hunde mama,t shirt hund,haustier shirt","Fuer Hundebesitzerinnen mit Humor und Pfotenliebe.",Frau,Geburtstag
5,"Gassi ist mein Cardio T-Shirt, Hundemama Shirt, lustiges Hunde Geschenk","hundepapa,hundemama,gassi shirt,hundeliebe,hunde geschenk,cardio shirt,lustiges shirt,shirt frau,shirt herren,hundebesitzer,pfoten shirt,t shirt hund,haustier","Sportliches Hundehalter-Shirt fuer Alltag und Spaziergang.",Unisex,Alltag
6,"Erzieherin mit Herz und Nerven aus Stahl Shirt, Kita Geschenk, Berufsshirt","erzieherin,erzieherin shirt,kita geschenk,berufsshirt,geschenk frau,kollegin geschenk,herz shirt,lustiges shirt,kita shirt,danke erzieherin,t shirt frau,kindergarten,pflegeleicht","Liebevolles Shirt fuer Erzieherinnen mit starken Nerven.",Frau,Danke Geschenk
7,"Pflegekraft muede aber magisch Shirt, Pflege Geschenk, Beruf T-Shirt","pflegekraft,pflege shirt,krankenschwester,berufsshirt,pflege geschenk,muede aber magisch,geschenk frau,lustiges shirt,t shirt pflege,team pflege,krankenpflege,alltag humor,danke geschenk","Humorvolles Shirt fuer Pflegekraefte im Alltag.",Unisex,Danke Geschenk
8,"Gamer Shirt Nur noch eine Runde, Gaming Geschenk, lustiges Zocker T-Shirt","gamer shirt,gaming geschenk,zocker shirt,nur eine runde,gamer geschenk,pc gaming,lustiges shirt,shirt herren,geburtstag gamer,controller shirt,pixel shirt,t shirt gamer,gaming humor","Generisches Gaming-Shirt ohne Marken- oder Spielreferenzen.",Unisex,Geburtstag
9,"Camping ist mein Luxus T-Shirt, Camper Geschenk, Outdoor Shirt","camping shirt,camper shirt,outdoor shirt,wohnmobil,camper geschenk,camping geschenk,lustiges shirt,urlaub shirt,t shirt camping,natur shirt,zelten,vanlife shirt,geschenk mann","Shirt fuer Camping-Fans, Wohnmobil-Freunde und Outdoor-Menschen.",Unisex,Urlaub
10,"Angeln ist Therapie Shirt, Angler Geschenk, Fischer T-Shirt","angler shirt,angeln geschenk,fischer shirt,angeln shirt,hobby shirt,geschenk mann,lustiges shirt,vatertag,opa geschenk,t shirt angler,outdoor shirt,see shirt,angel humor","Geschenkidee fuer Angler mit ruhigem Humor.",Mann,Geburtstag
